共 921 部电影

('5.8', '抽象画中的越南少女')
('5.8', '我唾弃你的坟墓')
('5.8', '我们依然在这')
('5.8', '我仍然知道你去年夏天干了什么')
('5.8', '小生梦惊魂')
('5.8', '奥提斯')
('5.8', '天地雄心')
('5.8', '夜魔')
('5.8', '咒灵')
('5.8', '变种女狼归来')
('5.8', '分裂')
('5.8', '万圣节9')
('5.7', '鬼局之猛鬼大厦')
('5.7', '食人鱼')
('5.7', '风杀')
('5.7', '风暴来临')
('5.7', '陌生来电')
('5.7', '阴齿')
('5.7', '蜜月')
('5.7', '荒岛惊魂')
('5.7', '网络杀人案')
('5.7', '纹身师')
('5.7', '端岛计划')
('5.7', '狼溪')
('5.7', '爱神')
('5.7', '燃烧的夜晚')
('5.7', '灵动：鬼影实录2')
('5.7', '深层恐惧')
('5.7', '毁灭战士')
('5.7', '死神有约：死后的生活')
('5.7', '新猛鬼街')
('5.7', '撕裂人')
('5.7', '情人节')
('5.7', '恶灵空间2')
('5.7', '恐怖流浪公园')
('5.7', '异形魔怪4')
('5.7', '异形魔怪3')
('5.7', '夜半无人尸语时')
('5.7', '吸血鬼公司')
('5.7', '危险行为')
('5.7', '卡到阴')
('5.7', '勾魂地堡')
('5.7', '劫后余生')
('5.7', '八脚怪')
('5.7', '伊恩·斯通之死')
('5.7', '人肉米粉')
('5.7', '九死')
('5.7', '三更')
('5.6', '黑衣女人')
('5.6', '黑色地板')
('5.6', '黑暗楼层')
('5.6', '阿波罗18号')
('5.6', '阿提克斯研究所')
('5.6', '阴森小镇')
('5.6', '铁道凶灵')
('5.6', '诊所惊魂')
('5.6', '美发尸')
('5.6', '神秘的地洞')
('5.6', '监狱不设防')
('5.6', '疯羊')
('5.6', '男孩')
('5.6', '由内而外')
('5.6', '深海寻人')
('5.6', '死亡录像3：创世纪')
('5.6', '死亡之雪')
('5.6', '月蚀')
('5.6', '星际公敌')
('5.6', '敲敲门')
('5.6', '我想你')
('5.6', '惹鬼回路')
('5.6', '恶魔在身后')
('5.6', '恐怖爆发')
('5.6', '异形入侵')
('5.6', '奇缘')
('5.6', '太平间闹鬼事件2：佐治亚鬼屋事件')
('5.6', '天蛾人')
('5.6', '入侵者')
('5.6', '传说的故乡')
('5.6', '万鳄巨兽')
('5.6', '一咬OK')
('5.5', '鬼迷心窍')
('5.5', '鬼样少年少女')
('5.5', '鬼屋大电影')
('5.5', '香颂鬼屋')
('5.5', '邪鳄禁区')
('5.5', '道士出山2：伏魔军团')
('5.5', '透明人2')
('5.5', '逃亡鳄鱼岛')
('5.5', '迷夜惨遇')
('5.5', '花咒')
('5.5', '致命弯道3')
('5.5', '美国杀人魔2')
('5.5', '绝命代理')
('5.5', '真实魔鬼游戏')
('5.5', '狙击杀手')
('5.5', '泄密的心')
('5.5', '水灵')
('5.5', '死亡女孩')
('5.5', '死亡之舞')
('5.5', '无人生还')
('5.5', '救我')
('5.5', '恶魔咆哮2')
('5.5', '恐怖异形入侵')
('5.5', '恐怖南瓜头')
('5.5', '恐怖列车')
('5.5', '怨灵')
('5.5', '怀疑者')
('5.5', '外星人入侵')
('5.5', '回到鬼屋')
('5.5', '午夜电影')
('5.5', '千疮百孔')
('5.5', '切尔诺贝利日记')
('5.4', '黑暗降临')
('5.4', '青鬼')
('5.4', '险恶2')
('5.4', '至暗之时')
('5.4', '真心话大冒险')
('5.4', '生化危机5：惩罚')
('5.4', '猛鬼爱情故事')
('5.4', '灵异隧道实录')
('5.4', '残虐你，娱乐我')
('5.4', '死亡录像4：启示录')
('5.4', '格蕾丝')
('5.4', '杰莎贝尔')
('5.4', '杀戮名单')
('5.4', '我的同学不是人')
('5.4', '惨死')
('5.4', '恶灵空间3')
('5.4', '心中有鬼')
('5.4', '孤立者')
('5.4', '四人餐桌')
('5.4', '咒怨：白老妇')
('5.4', '咒乐园')
('5.4', '吸血鬼复仇记II')
('5.4', '切除')
('5.3', '魔鬼游乐场')
('5.3', '魔鬼契约')
('5.3', '魔界契约')
('5.3', '鬼镜2')
('5.3', '非请勿进')
('5.3', '边陲')
('5.3', '致命玩笑2')
('5.3', '致命围困')
('5.3', '育婴室')
('5.3', '绝命圣诞夜')
('5.3', '算计')
('5.3', '窒命写真')
('5.3', '疗养院')
('5.3', '火星异种')
('5.3', '活埋前女友')
('5.3', '死神蘑菇')
('5.3', '棺木')
('5.3', '恶魔')
('5.3', '心中的恶魔')
('5.3', '尸体解剖')
('5.3', '尸体派对')
('5.3', '婴灵恶泣')
('5.3', '婴尸')
('5.3', '女生惊魂记')
('5.3', '坟墓舞者')
('5.3', '囚禁')
('5.3', '变鬼3.1')
('5.3', '剧场灵')
