共 690 部电影

('6.4', '心灵传输者')
('6.4', '年轻人')
('6.4', '寄生兽：完结篇')
('6.4', '宇宙通行证')
('6.4', '太空炮弹')
('6.4', '天空上尉与明日世界')
('6.4', '天兆')
('6.4', '地心末日')
('6.4', '信号')
('6.4', '亡魂岛')
('6.4', '2009迷失的记忆')
('6.3', '饥饿游戏')
('6.3', '逃出洛杉矶')
('6.3', '超验骇客')
('6.3', '行星巨人')
('6.3', '热浴盆时光机')
('6.3', '洛杉矶大逃亡')
('6.3', '死亡空间：余波')
('6.3', '橡皮轮胎')
('6.3', '机械危情')
('6.3', '星际之门：真理之盒')
('6.3', '撒迦利亚')
('6.3', '戴夫号飞船')
('6.3', '怪形前传')
('6.3', '德古拉元年')
('6.3', '异种')
('6.3', '年鉴计划')
('6.3', '少年透明人')
('6.3', '宇宙战争')
('6.3', '天袭')
('6.3', '图书馆战争2：最后的任务')
('6.3', '变种DNA')
('6.3', '勇敢者游戏2')
('6.3', '创：战纪')
('6.3', '世界大战')
('6.3', 'DNA复制')
('6.2', '饮料杯历险记')
('6.2', '铁血战士2')
('6.2', '超狗任务')
('6.2', '超人：解放')
('6.2', '街区大作战')
('6.2', '纽约大逃亡')
('6.2', '神奇四侠')
('6.2', '生化危机4：战神再生')
('6.2', '特警判官')
('6.2', '楼上的外星人')
('6.2', '机器纪元')
('6.2', '有一天')
('6.2', '摩根/魔诡')
('6.2', '忍者神龟：变种时代')
('6.2', '异形终结')
('6.2', '太空犬')
('6.2', '地心历险记2：神秘岛')
('6.2', '回归者')
('6.2', '变形金刚4：绝迹重生')
('6.2', '传染病')
('6.1', '隔绝')
('6.1', '重返中世纪')
('6.1', '超级英雄大战GP 假面骑士3号')
('6.1', '解冻')
('6.1', '虚空')
('6.1', '时光骇客')
('6.1', '新邻里联防')
('6.1', '急冻奇侠')
('6.1', '威龙二世')
('6.1', '地狱男爵动画版：风暴之剑')
('6.1', '同等族群')
('6.1', '余烬')
('6', '魔法教师')
('6', '非常小特务')
('6', '随你而去')
('6', '长江七号')
('6', '逆世界')
('6', '迷失太空')
('6', '脉搏探测器')
('6', '终极复仇者2：黑豹的崛起')
('6', '神童')
('6', '神奇四侠2')
('6', '碧血长天')
('6', '猪头，我的车咧？')
('6', '灵异空间')
('6', '灵异拼图')
('6', '灭绝')
('6', '永远的活跳尸')
('6', '新铁血战士')
('6', '感染列岛')
('6', '异星战场')
('6', '异形魔怪2')
('6', '太空黑猩猩')
('6', '复制杀人魔')
('6', '分歧者3：忠诚世界')
('6', '关键第四号')
('6', '光环：夜幕')
('6', '人类清除计划')
('5.9', '非常小特务2')
('5.9', '锁定')
('5.9', '逆流的色彩')
('5.9', '超人高校')
('5.9', '美国队长')
('5.9', '火龙帝国')
('5.9', '核震过后')
('5.9', '杀戮指令')
('5.9', '杀出狂人镇')
('5.9', '机器人病毒危机')
('5.9', '时空特警')
('5.9', '换妻俱乐部')
('5.9', '捍卫机密')
('5.9', '妖兽都市')
('5.9', '太空一号')
('5.8', '黑暗天际')
('5.8', '蝙蝠侠与罗宾')
('5.8', '科学小飞侠')
('5.8', '灭顶之灾')
('5.8', '海岸大捕怪')
('5.8', '死亡飞车2')
('5.8', '柏林龙卷风')
('5.8', '末日侵袭')
('5.8', '怪兽')
('5.8', '女神陷阱')
('5.8', '天军')
('5.8', '地球回音')
('5.8', '地心抢险记')
('5.8', '分裂')
('5.8', '世界末日')
('5.7', '蝴蝶效应2')
('5.7', '绿灯侠')
('5.7', '神奇四侠2015')
('5.7', '疯狂轮滑')
('5.7', '永恒岛')
('5.7', '毁灭战士')
('5.7', '木星上行')
('5.7', '撕裂人')
('5.7', '异形魔怪4')
('5.7', '异形魔怪3')
('5.7', '八脚怪')
('5.7', '人类灭亡报告书')
('5.6', '魔兽战场')
('5.6', '阿波罗18号')
('5.6', '钢铁侠：纳米魔崛起')
('5.6', '重返地球')
('5.6', '机器的叛变')
('5.6', '星际公敌')
('5.6', '救世主')
('5.6', '惹鬼回路')
('5.6', '异能')
('5.6', '幽灵战队')
('5.6', '基因决定我爱你')
('5.6', '像素大战')
('5.6', '人间兵器2')
('5.6', 'X档案2')
('5.5', '非常小特务3')
('5.5', '透明人2')
('5.5', '终点站')
('5.5', '真实魔鬼游戏')
('5.5', '牛仔和外星人')
('5.5', '泄密的心')
('5.5', '智能谍变')
('5.5', '恐怖异形入侵')
('5.5', '恐怖列车')
('5.5', '异形大战铁血战士2')
('5.5', '外星人入侵')
('5.5', '地球停转之日')
('5.4', '魔鬼山历险记')
('5.4', '魔力女战士')
('5.4', '重返地球')
('5.4', '至暗之时')
('5.4', '第七阶')
('5.4', '生化危机5：惩罚')
('5.4', '无限')
('5.4', '我的超级前女友')
('5.4', '同步')
('5.4', '决战紫禁之巅')
('5.4', '人兽杂交')
('5.3', '第五波')
('5.3', '秘密/顶级秘密')
('5.3', '火星异种')
('5.3', '死亡幻觉2')
('5.3', '末世殖民地')
('5.3', '人间兵器')
('5.3', '人烟之岛2：战斗')
('5.2', '魔鬼命令--重返战场')
('5.2', '随心逐流')
('5.2', '进击的巨人真人版：前篇')
('5.2', '超能游戏者')
('5.2', '梦魇迷宫')
('5.2', '格斗之王')
('5.2', '我们都是超能力者！电影版')
('5.2', '双龙间谍')
('5.2', '再造战士')
('5.1', '致命紫罗兰')
('5.1', '流行病毒')
('5.1', '杀手无名')
('5.1', '机器侠')
('5.1', '时光大战')
('5.1', '异形终结2：狩猎')
('5.1', '害虫横行')
('5.1', '基拉拉的反攻')
('5.1', '变异编年史')
('5.1', '再造战士4')
('5.1', '代课老师不是人')
('5', '蝶蛹')
('5', '红鹰侠')
('5', '火星幽灵')
('5', '桂宝之爆笑闯宇宙')
('5', '抗体')
('5', '情癫大圣')
('5', '巴比伦5号：失落的传说－黑暗之声')
('5', '巨石启示录')
('5', '完美生物')
('5', '卫斯理之蓝血人')
('5', '人烟之岛')
('480702', '星际穿越')
('4.9', '陨石恶梦')
('4.9', '航时凶间')
('4.9', '脑浆炸裂少女')
('4.9', '生死新纪元')
('4.9', '康纳斯的战争')
('4.9', '再造战士：重生')
('4.9', '但丁01')
('4.8', '超时空救兵')
('4.8', '美国英雄')
('4.8', '深海之战')
('4.8', '次世代机动警察：首都决战')
('4.8', '杀人宝盒')
('4.8', '星河战队3：掠夺者')
('4.8', '无敌钢铁侠')
('4.8', '南方传奇')
('4.7', '鲨卷风3')
('4.7', '风暴模型')
('4.7', '街头霸王4-新的羁绊')
('4.7', '蒸发太平洋')
('4.7', '星河战队2: 联邦英雄')
('4.7', '幻影')
('4.7', '变种DNA 3')
('4.6', '魔宫帝国2')
('4.6', '风暴来袭')
('4.6', '铁拳')
('4.6', '天魔异种')
('4.5', '黑侠2')
('4.5', '费城实验：再生')
('4.5', '致命电话')
('4.5', '狂蟒之灾3')
('4.5', '少年骇客：异形群体')
('4.4', '银河街道')
('4.4', '红色派系：起源')
('4.4', '怪兽：黑暗大陆')
('4.4', '大白鲨之致命武器')
('4.4', '全城戒备')
('4.3', '魔比斯环')
('4.3', '蒸发太平洋')
('4.3', '新活死人之夜')
('4.3', '我的极品女神')
('4.2', '机械战士')
('4.1', '幻世追踪')
('4', '攻击部队')
('4', '恶魔的坟墓')
('4', '冰冻蜘蛛')
('3.9', '对抗黑暗')
('3.8', '钢铁骑士')
('3.8', '暗杀游戏')
('3.7', '超强台风')
('3.7', '换行攻击')
('3.7', '入侵地球')
('3.6', '倒数毁灭')
('3.6', '24号储藏室')
('3.5', '黑猫警长之翡翠之星')
('3.5', '鬼蟑螂')
('3.5', '终极游戏')
('3.5', '最后的哨兵')
('3.5', '入侵脑细胞2')
('3.4', '龙之寿')
('3.4', '毒岛')
('3.4', '时空英豪5')
('3.4', '战争的恐怖')
('3.4', '傀儡王：邪恶轴心')
('3.2', '死亡飞车2050')
('3.2', '末日迷踪')
('3.1', '海底三万里')
('3.1', '2012: 冰河时期')
('3', '章鲨')
('3', '活尸战场')
('2.9', '星际拾荒者')
('2.9', '公元前10000万年')
('2.9', '不可思异')
('2.8', '鲨鱼啾大战乌贼娘')
('2.7', '骆驼蜘蛛')
('2.7', '肉体创伤')
('2.7', '拳皇')
('2.7', '世界大战2之新的进攻')
('2.6', '美女武士')
('2.4', '超能兔战队')
('0', '铁甲威龙')
('0', '最后的武士')
('0', '战场空间')
('0', '不请自来')
